"","id","group","name","email","time","ad_number","ad","sponsor","sponsor_type","date"
"1",1,"mood disorder","Ali Lee","leea5105@gmail.com","4/19/21","ad1","CapitalOne Shopping

The genius hack every Home Depot shopper should know.
Before you shop at The Home Depot, read this.","CapitalOne Shopping","Selling Product(s)",2021-04-19
"2",1,"mood disorder","Ali Lee","leea5105@gmail.com","4/19/21","ad2","TruthFinder

Have you ever googled yourself? Run a ""deep search"" instead.
This new search engine reveals so much more. Type in you name, wait 107 seconds, brace yourself.","TruthFinder","Selling Product(s)",2021-04-19
"3",1,"mood disorder","Ali Lee","leea5105@gmail.com","4/19/21","ad3",NA,NA,NA,2021-04-19
"4",1,"mood disorder","Ali Lee","leea5105@gmail.com","4/19/21","ad4",NA,NA,NA,2021-04-19
"5",1,"mood disorder","Ali Lee","leea5105@gmail.com","4/19/21","ad5",NA,NA,NA,2021-04-19
"6",2,"schizophrenia","Ashley Jackson","aj8743124@gmail.com","4/19/21","ad1","CapitalOne Shopping

The genius hack every Home Depot shopper should know.
Before you shop at The Home Depot, read this.","CapitalOne Shopping","Selling Product(s)",2021-04-19
"7",2,"schizophrenia","Ashley Jackson","aj8743124@gmail.com","4/19/21","ad2","TruthFinder

Have you ever googled yourself? Run a ""deep search"" instead.
This new search engine reveals so much more. Type in you name, wait 107 seconds, brace yourself.","TruthFinder","Selling Product(s)",2021-04-19
"8",2,"schizophrenia","Ashley Jackson","aj8743124@gmail.com","4/19/21","ad3",NA,NA,NA,2021-04-19
"9",2,"schizophrenia","Ashley Jackson","aj8743124@gmail.com","4/19/21","ad4",NA,NA,NA,2021-04-19
"10",2,"schizophrenia","Ashley Jackson","aj8743124@gmail.com","4/19/21","ad5",NA,NA,NA,2021-04-19
"11",3,"control","Carol Bryant","bryantcarol868@yahoo.com","4/19/21","ad1","CapitalOne Shopping

The genius hack every Home Depot shopper should know.
Before you shop at The Home Depot, read this.","CapitalOne Shopping","Selling Product(s)",2021-04-19
"12",3,"control","Carol Bryant","bryantcarol868@yahoo.com","4/19/21","ad2","TruthFinder

Have you ever googled yourself? Run a ""deep search"" instead.
This new search engine reveals so much more. Type in you name, wait 107 seconds, brace yourself.","TruthFinder","Selling Product(s)",2021-04-19
"13",3,"control","Carol Bryant","bryantcarol868@yahoo.com","4/19/21","ad3",NA,NA,NA,2021-04-19
"14",3,"control","Carol Bryant","bryantcarol868@yahoo.com","4/19/21","ad4",NA,NA,NA,2021-04-19
"15",3,"control","Carol Bryant","bryantcarol868@yahoo.com","4/19/21","ad5",NA,NA,NA,2021-04-19
"16",4,"mood disorder","Cassidy Barnes","cassidybarnes75@gmail.com","4/19/21","ad1","CapitalOne Shopping

The genius hack every Home Depot shopper should know.
Before you shop at The Home Depot, read this.","CapitalOne Shopping","Selling Product(s)",2021-04-19
"17",4,"mood disorder","Cassidy Barnes","cassidybarnes75@gmail.com","4/19/21","ad2","TruthFinder

Have you ever googled yourself? Run a ""deep search"" instead.
This new search engine reveals so much more. Type in you name, wait 107 seconds, brace yourself.","TruthFinder","Selling Product(s)",2021-04-19
"18",4,"mood disorder","Cassidy Barnes","cassidybarnes75@gmail.com","4/19/21","ad3",NA,NA,NA,2021-04-19
"19",4,"mood disorder","Cassidy Barnes","cassidybarnes75@gmail.com","4/19/21","ad4",NA,NA,NA,2021-04-19
"20",4,"mood disorder","Cassidy Barnes","cassidybarnes75@gmail.com","4/19/21","ad5",NA,NA,NA,2021-04-19
"21",5,"schizophrenia","Aubrey Yates","aubreyyates2@gmail.com","4/19/21","ad1","CapitalOne Shopping

The genius hack every Home Depot shopper should know.
Before you shop at The Home Depot, read this.","CapitalOne Shopping","Selling Product(s)",2021-04-19
"22",5,"schizophrenia","Aubrey Yates","aubreyyates2@gmail.com","4/19/21","ad2","TruthFinder

Have you ever googled yourself? Run a ""deep search"" instead.
This new search engine reveals so much more. Type in you name, wait 107 seconds, brace yourself.","TruthFinder","Selling Product(s)",2021-04-19
"23",5,"schizophrenia","Aubrey Yates","aubreyyates2@gmail.com","4/19/21","ad3",NA,NA,NA,2021-04-19
"24",5,"schizophrenia","Aubrey Yates","aubreyyates2@gmail.com","4/19/21","ad4",NA,NA,NA,2021-04-19
"25",5,"schizophrenia","Aubrey Yates","aubreyyates2@gmail.com","4/19/21","ad5",NA,NA,NA,2021-04-19
"26",6,"control","Blake Graham","blakeg853@gmail.com","4/19/21","ad1","CapitalOne Shopping

The genius hack every Home Depot shopper should know.
Before you shop at The Home Depot, read this.","CapitalOne Shopping","Selling Product(s)",2021-04-19
"27",6,"control","Blake Graham","blakeg853@gmail.com","4/19/21","ad2","TruthFinder

Have you ever googled yourself? Run a ""deep search"" instead.
This new search engine reveals so much more. Type in you name, wait 107 seconds, brace yourself.","TruthFinder","Selling Product(s)",2021-04-19
"28",6,"control","Blake Graham","blakeg853@gmail.com","4/19/21","ad3",NA,NA,NA,2021-04-19
"29",6,"control","Blake Graham","blakeg853@gmail.com","4/19/21","ad4",NA,NA,NA,2021-04-19
"30",6,"control","Blake Graham","blakeg853@gmail.com","4/19/21","ad5",NA,NA,NA,2021-04-19
"31",1,"mood disorder","Ali Lee","leea5105@gmail.com","4/20/21","ad1","CapitalOne Shopping

The genius hack every Home Depot shopper should know.
Before you shop at The Home Depot, read this.","CapitalOne Shopping","Selling Product(s)",2021-04-20
"32",1,"mood disorder","Ali Lee","leea5105@gmail.com","4/20/21","ad2","Upbeat News

How much of a psychopath are you?
You may be more psychopathic than you think you are. Answer truthfully for the most accurate results.","Upbeat News","News",2021-04-20
"33",1,"mood disorder","Ali Lee","leea5105@gmail.com","4/20/21","ad3","TruthFinder

Have you ever googled yourself? Run a ""deep search"" instead.
This new search engine reveals so much more. Type in you name, wait 107 seconds, brace yourself.","TruthFinder","Selling Product(s)",2021-04-20
"34",1,"mood disorder","Ali Lee","leea5105@gmail.com","4/20/21","ad4","System1 | Bladder Cancer

Symptoms of bladder cancer you may wish you knew sooner.
Catching bladder cancer early may make a big difference. Look for signs and symptoms here.","System1 | Bladder Cancer","Healthcare",2021-04-20
"35",1,"mood disorder","Ali Lee","leea5105@gmail.com","4/20/21","ad5","Worldlifestyle

A school expelled a teen without realizing who her dad is.
He listened to them as they berated his daughter, but enough was enough.","Worldlifestyle","Games Apps & Quizzes",2021-04-20
"36",2,"schizophrenia","Ashley Jackson","aj8743124@gmail.com","4/20/21","ad1","CapitalOne Shopping

The genius hack every Home Depot shopper should know.
Before you shop at The Home Depot, read this.","CapitalOne Shopping","Selling Product(s)",2021-04-20
"37",2,"schizophrenia","Ashley Jackson","aj8743124@gmail.com","4/20/21","ad2","Upbeat News

How much of a psychopath are you?
You may be more psychopathic than you think you are. Answer truthfully for the most accurate results.","Upbeat News","News",2021-04-20
"38",2,"schizophrenia","Ashley Jackson","aj8743124@gmail.com","4/20/21","ad3","Forge of Empires

Play this game for 3 minutes and see why everyone is addicted.
Build, barter, and battle through historical ages in this award-winning strategy game.","Forge of Empires","Games Apps & Quizzes",2021-04-20
"39",2,"schizophrenia","Ashley Jackson","aj8743124@gmail.com","4/20/21","ad4","BHMD Dermal

1 simple thing you can do for a natural face lift.
Beverly Hills surgeon reveals at home fix (no creams needed). For illustrative purposes only.","BHMD Dermal","Healthcare",2021-04-20
"40",2,"schizophrenia","Ashley Jackson","aj8743124@gmail.com","4/20/21","ad5","System1 | Bladder Cancer

Symptoms of bladder cancer you may wish you knew sooner.
Catching bladder cancer early may make a big difference. Look for signs and symptoms here.","System1 | Bladder Cancer","Healthcare",2021-04-20
"41",3,"control","Carol Bryant","bryantcarol868@yahoo.com","4/20/21","ad1","CapitalOne Shopping

The genius hack every Home Depot shopper should know.
Before you shop at The Home Depot, read this.","CapitalOne Shopping","Selling Product(s)",2021-04-20
"42",3,"control","Carol Bryant","bryantcarol868@yahoo.com","4/20/21","ad2","Forge of Empires

Play this game for 3 minutes and see why everyone is addicted.
Build, barter, and battle through historical ages in this award-winning strategy game.","Forge of Empires","Games Apps & Quizzes",2021-04-20
"43",3,"control","Carol Bryant","bryantcarol868@yahoo.com","4/20/21","ad3","Upbeat News

Quiz: are you vintage enough to name these 24 old school items.
Test your knowledge and be the first to score over 90%.","Upbeat News","News",2021-04-20
"44",3,"control","Carol Bryant","bryantcarol868@yahoo.com","4/20/21","ad4","System1 | Bladder Cancer

Symptoms of bladder cancer you may wish you knew sooner.
Catching bladder cancer early may make a big difference. Look for signs and symptoms here.","System1 | Bladder Cancer","Healthcare",2021-04-20
"45",3,"control","Carol Bryant","bryantcarol868@yahoo.com","4/20/21","ad5",NA,NA,NA,2021-04-20
"46",4,"mood disorder","Cassidy Barnes","cassidybarnes75@gmail.com","4/20/21","ad1","Maternity Week

What's the truth about Céline Dion's major weight loss?
She recently confirmed what we suspected all along.","Maternity Week","News",2021-04-20
"47",4,"mood disorder","Cassidy Barnes","cassidybarnes75@gmail.com","4/20/21","ad2","Upbeat News

How much of a psychopath are you?
You may be more psychopathic than you think you are. Answer truthfully for the most accurate results.","Upbeat News","News",2021-04-20
"48",4,"mood disorder","Cassidy Barnes","cassidybarnes75@gmail.com","4/20/21","ad3","Upbeat News

Quiz: are you vintage enough to name these 24 old school items.
Test your knowledge and be the first to score over 90%.","Upbeat News","News",2021-04-20
"49",4,"mood disorder","Cassidy Barnes","cassidybarnes75@gmail.com","4/20/21","ad4","Worldlifestyle

A school expelled a teen without realizing who her dad is.
He listened to them as they berated his daughter, but enough was enough.","Worldlifestyle","Games Apps & Quizzes",2021-04-20
"50",4,"mood disorder","Cassidy Barnes","cassidybarnes75@gmail.com","4/20/21","ad5","Gazillions

Most adults fail this United States geography quiz.
How much do you remember from geography class?","Gazillions","Games Apps & Quizzes",2021-04-20
"51",5,"schizophrenia","Aubrey Yates","aubreyyates2@gmail.com","4/20/21","ad1","CapitalOne Shopping

The genius hack every Home Depot shopper should know.
Before you shop at The Home Depot, read this.","CapitalOne Shopping","Selling Product(s)",2021-04-20
"52",5,"schizophrenia","Aubrey Yates","aubreyyates2@gmail.com","4/20/21","ad2","Upbeat News

How much of a psychopath are you?
You may be more psychopathic than you think you are. Answer truthfully for the most accurate results.","Upbeat News","News",2021-04-20
"53",5,"schizophrenia","Aubrey Yates","aubreyyates2@gmail.com","4/20/21","ad3","TruthFinder

Have you ever googled yourself? Run a ""deep search"" instead.
This new search engine reveals so much more. Type in you name, wait 107 seconds, brace yourself.","TruthFinder","Selling Product(s)",2021-04-20
"54",5,"schizophrenia","Aubrey Yates","aubreyyates2@gmail.com","4/20/21","ad4","Upbeat News

Quiz: are you vintage enough to name these 24 old school items.
Test your knowledge and be the first to score over 90%.","Upbeat News","News",2021-04-20
